Common Name,Botanical Name,Sun,Water,Bloom Time,Bloom Color,Type
Purple Aster,Dieteria bigelovii,Full Sun,Low,Rose-purple with yellow center,Fall,Wildflower
Purple Tansy Aster, Dieteria canescens,Full Sun,Low,Purple with yellow center,Fall,Wildflower
Tansy Aster,Machaeranthera tanacetifolia,Full Sun,Low,Purple with yellow center,Summer/Fall,Wildflower
Rocky Mountain Bee Plant,Cleome serrulata,Full Sun,Low,Purplish pink,Summer,Wildflower
Indian Blanketflower (Firewheel),Gaillardia pulchella,Full Sun,Low/medium,Yellow with red center,Spring/Fall,Wildflower
Black eyed Susan,Rudbeckia hirta,Full Sun,Medium,Yellow,Summer/Fall,Wildflower
Cosmos,Cosmos parviflorus,Full Sun,Low/Medium,White pink or violet with yellow center,Summer/Fall,Wildflower
Cowpen Daisy,Verbesina encelioides,Full Sun,Very Low,Yellow,Summer/Fall,Wildflower
Small-flowered Gaura,Oenothera curtiflora,Full Sun,Very Low,White turning to Pink turning to Red,Summer,Wildflower
Scarlet Gilia,Ipomopsis aggregata,Pt Shade,Medium,Red,Summer,Wildflower
Deset Marigold,Baileya multiradiata,Full Sun/Pt Shade,Very Low,Yellow,Summer,Wildflower
Prairie Primrose,Oenothera albicaulis,Full Sun,Low,White,Spring,Wildflower
Annual Sunflower,Helianthus annuus,Full Sun,Low,Yellow,Summer/Fall,Wildflower
Prairie Sunflower,Helianthus petiolaris,Full Sun,Low,Yellow with reddish brown center,Summer/Fall,Wildflower
Parry Agave,Agave parryi,Full Sun,Very Low,Green yellow,Spring/Summer,Cacti
Bear Grass,Nolina microcarpa,Full Sun,Very Low,White,Spring/Summer,Cacti 
Ball Cactus,Escobaria vivipara,Full Sun,Very Low,Pink,Spring,Cacti
Grama Grass Cactus,Sclerocactus papyracanthus,Full Sun/Pt Shade,Very Low,White,Spring,Cacti
Little Nipple Cactus,Mammillaria heyderi var. meiacantha,Full Sun,Low,Pink yellow or Cream,Spring,Cacti
Mountain Ball Cactus (Pincushion),Pediocactus simpsonii,Full Sun,Very Low,Pink,Spring,Cacti
Wright's Nipple Cactus,Mammillaria wrightii,Full Sun,Low,Pink or magenta,Summer,Cacti
Club Cholla,Grusonia clavata,Full Sun,Very Low,Yellow or greenish yellow,Summer,Cacti
Santa Fe Cholla,Cylindropuntia viridiflora,Full Sun,Very Low,Pinkish apricot,Summer,Cacti
Tree Cholla,Cylindropuntia imbricata,Full Sun/Pt Shade,Very Low,Magenta,June,Cacti
Whipple Cholla,Cylindropuntia whipplei,Full Sun,Very Low,Yellowish green, Spring,Cacti
Claret Cup,Echinocereus triglochidiatus,Full Sun,Very Low,Red,Spring,Cacti
Hedgehog Claret Cup,Echinocereus coccineus,Full Sun/Pt Shade,Very Low,Red,Spring,Cacti
Fendler's Hedgehog,Echinocereus fendleri,Full Sun/Pt Shade,Very Low,Purple violet or magenta,Summer/Fall,Cacti
Golden Rainbow Hedgehog,Echinocereus dasyacanthus,Full Sun,Very Low,Yellow,Spring,Cacti
Green Pitaya Hedgehog,Echinocereus viridiflorus,Full Sun,Very Low, Greenish yellow, Spring,Cacti
Brown-spined Prickly Pear,Opuntia phaeacantha,Full Sun,Very Low,Yellow or pink,Spring,Cacti
Plains Prickly Pear,Opuntia polyacantha,Full Sun,Very Low,Yellow,Spring,Cacti
Western Prickly Pear, Opuntia macrorhiza,Full Sun,Very Low,Yellow,Spring/Summer,Cacti
Banana Yucca,Yucca baccata,Full Sun,Very Low,White,Spring,Cacti
Narrowleaf Yucca,Yucca glauca,Full Sun,Very Low,White or cream with pinkish outer petals,May/June,Cacti
Soaptree Yucca,Yucca elata,Full Sun,Very Low,Creamy White,Spring,Cacti
